,URL_ID,URL,POSITIVE SCORE,NEGATIVE SCORE,POLARITY SCORE,SUBJECTIVITY SCORE,AVG SENTENCE LENGTH,PERCENTAGE OF COMPLEX WORDS,FOG INDEX,AVG NUMBER OF WORDS PER SENTENCE,COMPLEX WORD COUNT,WORD COUNT,SYLLABLE PER WORD,PERSONAL PRONOUNS,AVG WORD LENGTH
0,blackassign0001,https://insights.blackcoffer.com/rising-it-cities-and-its-impact-on-the-economy-environment-infrastructure-and-city-life-by-the-year-2040-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
1,blackassign0002,https://insights.blackcoffer.com/rising-it-cities-and-their-impact-on-the-economy-environment-infrastructure-and-city-life-in-future/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
2,blackassign0003,https://insights.blackcoffer.com/internet-demands-evolution-communication-impact-and-2035s-alternative-pathways/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
3,blackassign0004,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-in-upcoming-future/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
4,blackassign0005,https://insights.blackcoffer.com/ott-platform-and-its-impact-on-the-entertainment-industry-in-future/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
5,blackassign0006,https://insights.blackcoffer.com/the-rise-of-the-ott-platform-and-its-impact-on-the-entertainment-industry-by-2040/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
6,blackassign0007,https://insights.blackcoffer.com/rise-of-cyber-crime-and-its-effects/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
7,blackassign0008,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
8,blackassign0009,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
9,blackassign0010,https://insights.blackcoffer.com/rise-of-cybercrime-and-its-effect-by-the-year-2040/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
10,blackassign0011,https://insights.blackcoffer.com/rise-of-internet-demand-and-its-impact-on-communications-and-alternatives-by-the-year-2035/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
11,blackassign0012,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-3-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
12,blackassign0013,https://insights.blackcoffer.com/rise-of-e-health-and-its-impact-on-humans-by-the-year-2030/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
13,blackassign0014,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
14,blackassign0015,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
15,blackassign0016,https://insights.blackcoffer.com/rise-of-telemedicine-and-its-impact-on-livelihood-by-2040-2-2/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
16,blackassign0017,https://insights.blackcoffer.com/rise-of-chatbots-and-its-impact-on-customer-support-by-the-year-2040/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
17,blackassign0018,https://insights.blackcoffer.com/rise-of-e-health-and-its-imapct-on-humans-by-the-year-2030/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
18,blackassign0019,https://insights.blackcoffer.com/how-does-marketing-influence-businesses-and-consumers/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
19,blackassign0020,https://insights.blackcoffer.com/how-advertisement-increase-your-market-value/,1.0,0,0.9999990000010001,0.08333332638888948,66.0,0.08333333333333333,26.433333333333334,11.0,1.0,12.0,15.0,0.0,4.666666666666667
